,foreign_gross,production_budget,net_profit,movie_title,domestic_gross,world_wide_gross_Profit,ROI,genre_ids,id,popularity,release_date,vote_average,vote_count,genres_labels
633,14778881.0,35000000.0,-519955.0,Broken City,19701164.0,34480045.0,-1.4855857142857143,"[53, 80, 18]",98357.0,13.646,2013-01-18,5.9,814.0,"Thriller, Crime, Drama"
634,8393171.0,1000000.0,25887177.0,You're Next,18494006.0,26887177.0,2588.7177,"[27, 53, 9648]",83899.0,11.45,2013-08-23,6.6,1258.0,"Horror, Thriller, Mystery"
635,7200000.0,30000000.0,-10400026.0,Dead Man Down,10895295.0,19599974.0,-34.66675333333333,"[53, 28, 80, 18]",102362.0,10.349,2013-03-08,6.0,866.0,"Thriller, Action, Crime, Drama"
636,726349.0,13000000.0,5733666.0,Admission,18007317.0,18733666.0,44.10512307692308,"[35, 18, 10749]",144340.0,8.065,2013-03-22,5.5,385.0,"Comedy, Drama, Romance"
637,1300000.0,900000.0,16649645.0,Fruitvale Station,16098998.0,17549645.0,1849.9605555555554,[18],157354.0,9.587,2013-07-26,7.4,645.0,Drama
638,7700000.0,20000000.0,-3276623.0,Battle of the Year,8888355.0,16723377.0,-16.383115,"[10402, 18]",109417.0,5.858,2013-09-21,6.1,130.0,"Music, Drama"
639,4300000.0,22000000.0,-6565625.0,Out of the Furnace,11330849.0,15434375.0,-29.843750000000004,"[53, 18, 80]",164457.0,9.139,2013-12-06,6.6,1077.0,"Thriller, Drama, Crime"
640,10269404.0,4000000.0,21448707.0,The Last Exorcism Part II,15179303.0,25448707.0,536.217675,"[27, 53, 18]",146203.0,7.561,2013-03-01,4.5,297.0,"Horror, Thriller, Drama"
641,7000000.0,20000000.0,-1726991.0,Machete Kills,8008161.0,18273009.0,-8.634955,"[28, 80, 53]",106747.0,10.36,2013-10-11,5.5,1079.0,"Action, Crime, Thriller"
642,6400000.0,40000000.0,-23659233.0,Paranoia,7388654.0,16340767.0,-59.1480825,[],70871.0,0.6,2011-06-07,4.5,2.0,
643,6400000.0,40000000.0,-23659233.0,Paranoia,7388654.0,16340767.0,-59.1480825,"[18, 53]",115348.0,7.674,2013-08-16,5.7,518.0,"Drama, Thriller"
644,6400000.0,40000000.0,-23659233.0,Paranoia,7388654.0,16340767.0,-59.1480825,"[53, 27]",398002.0,0.6,2016-05-24,10.0,1.0,"Thriller, Horror"
645,10400000.0,12000000.0,34913.0,Stoker,1703125.0,12034913.0,0.29094166666666665,"[18, 27, 53]",86825.0,10.738,2013-03-01,6.6,1282.0,"Drama, Horror, Thriller"
646,3100000.0,3000000.0,20251930.0,Before Midnight,8110621.0,23251930.0,675.0643333333334,"[10749, 18]",132344.0,11.765,2013-06-14,7.4,1039.0,"Romance, Drama"
647,9900000.0,4800000.0,-305440.0,Only God Forgives,775849.0,4494560.0,-6.363333333333333,"[18, 53, 80]",77987.0,10.196,2013-07-19,5.8,1396.0,"Drama, Thriller, Crime"
648,13108140.0,55000000.0,-32402031.0,Bullet to the Head,9489829.0,22597969.0,-58.91278363636364,"[28, 80, 53]",70074.0,17.574,2013-02-01,5.4,681.0,"Action, Crime, Thriller"
649,5300000.0,26000000.0,-19845828.0,The Fifth Estate,3254172.0,6154172.0,-76.33010769230769,"[18, 53]",162903.0,6.611,2013-10-18,5.9,549.0,"Drama, Thriller"
650,8000000.0,50000000.0,-23612961.0,Upside Down,102118.0,26387039.0,-47.225922,"[10749, 878, 18, 14]",58244.0,12.454,2013-03-14,6.2,1645.0,"Romance, Science Fiction, Drama, Fantasy"
